chunk_id,chunk_size,time_sec
5,10,0.0
4,10,0.0
1,10,0.0
0,10,0.0
2,10,0.0
3,10,0.0
6,10,0.0
9,10,0.0
10,10,0.0
8,10,0.0
11,10,0.0
7,10,0.0
13,10,0.0
15,10,0.0
14,10,0.0
12,10,0.0
17,10,0.0
16,10,0.0
18,10,0.0
20,10,0.0
21,10,0.0
19,10,0.0
22,10,0.0
23,10,0.0
24,10,0.0
27,10,0.0
26,10,0.0
28,10,0.0
29,10,0.0
25,10,0.0
2,10,0.0
1,10,0.0
3,10,0.0
0,10,0.0
4,10,0.0
5,10,0.0
6,10,0.0
8,10,0.0
7,10,0.0
9,10,0.0
11,10,0.0
10,10,0.0
14,10,0.0
12,10,0.0
15,10,0.0
16,10,0.0
18,10,0.0
13,10,0.0
17,10,0.0
19,10,0.0
20,10,0.0
23,10,0.0
22,10,0.0
25,10,0.0
21,10,0.0
24,10,0.0
26,10,0.0
28,10,0.0
29,10,0.0
27,10,0.0
3,10,0.0
4,10,0.0
0,10,0.0
2,10,0.0
5,10,0.0
1,10,0.0
7,10,0.0
9,10,0.0
8,10,0.0
10,10,0.0
6,10,0.0
11,10,0.0
15,10,0.0
14,10,0.0
16,10,0.0
12,10,0.0
13,10,0.0
17,10,0.0
20,10,0.0
21,10,0.0
18,10,0.0
19,10,0.0
23,10,0.0
26,10,0.0
24,10,0.0
25,10,0.0
28,10,0.0
27,10,0.0
29,10,0.0
22,10,0.0
1,10,0.0
0,10,0.0
5,10,0.0
3,10,0.0
2,10,0.0
6,10,0.0
7,10,0.0
8,10,0.0
10,10,0.0
4,10,0.0
9,10,0.0
11,10,0.0
12,10,0.0
13,10,0.0
15,10,0.0
16,10,0.0
14,10,0.0
17,10,0.0
19,10,0.0
21,10,0.0
18,10,0.0
20,10,0.0
23,10,0.0
22,10,0.0
25,10,0.0
24,10,0.0
28,10,0.0
27,10,0.0
29,10,0.0
26,10,0.0
0,10,0.0
1,10,0.0
2,10,0.0
3,10,0.0
4,10,0.0
5,10,0.0
6,10,0.0
8,10,0.0
10,10,0.0
11,10,0.0
7,10,0.0
9,10,0.0
14,10,0.0
13,10,0.0
16,10,0.0
15,10,0.0
12,10,0.0
17,10,0.0
18,10,0.0
19,10,0.0
22,10,0.0
20,10,0.0
21,10,0.0
24,10,0.0
23,10,0.0
25,10,0.0
28,10,0.0
26,10,0.0
27,10,0.0
29,10,0.0
2,10,0.0
4,10,0.0
3,10,0.0
1,10,0.0
5,10,0.0
0,10,0.0
9,10,0.0
6,10,0.0
7,10,0.0
10,10,0.0
8,10,0.0
15,10,0.0
16,10,0.0
13,10,0.0
14,10,0.0
11,10,0.0
20,10,0.0
18,10,0.0
12,10,0.0
17,10,0.0
19,10,0.0
21,10,0.0
23,10,0.0
24,10,0.0
26,10,0.0
22,10,0.0
27,10,0.0
25,10,0.0
28,10,0.0
29,10,0.0
1,10,0.0
2,10,0.0
0,10,0.0
5,10,0.0
3,10,0.0
4,10,0.0
8,10,0.0
6,10,0.0
9,10,0.0
7,10,0.0
11,10,0.0
10,10,0.0
12,10,0.0
13,10,0.0
14,10,0.0
15,10,0.0
17,10,0.0
16,10,0.0
19,10,0.0
18,10,0.0
21,10,0.0
20,10,0.0
22,10,0.0
23,10,0.0
25,10,0.0
24,10,0.0
28,10,0.0
27,10,0.0
26,10,0.0
29,10,0.0
5,10,0.0
4,10,0.0
3,10,0.0
1,10,0.0
2,10,0.0
0,10,0.0
7,10,0.0
8,10,0.0
6,10,0.0
10,10,0.0
11,10,0.0
9,10,0.0
13,10,0.0
12,10,0.0
16,10,0.0
15,10,0.0
14,10,0.0
17,10,0.0
19,10,0.0
18,10,0.0
20,10,0.0
21,10,0.0
22,10,0.0
23,10,0.0
24,10,0.0
25,10,0.0
27,10,0.0
26,10,0.0
29,10,0.0
28,10,0.0
2,10,0.0
0,10,0.0
5,10,0.0
1,10,0.0
4,10,0.0
3,10,0.0
7,10,0.0
10,10,0.0
9,10,0.0
11,10,0.0
8,10,0.0
6,10,0.0
16,10,0.0
17,10,0.0
12,10,0.0
15,10,0.0
14,10,0.0
18,10,0.0
13,10,0.0
19,10,0.0
20,10,0.0
22,10,0.0
21,10,0.0
23,10,0.0
24,10,0.0
26,10,0.0
28,10,0.0
27,10,0.0
29,10,0.0
25,10,0.0
3,10,0.0
4,10,0.0
5,10,0.0
2,10,0.0
0,10,0.0
1,10,0.0
7,10,0.0
6,10,0.0
8,10,0.0
9,10,0.0
10,10,0.0
11,10,0.0
15,10,0.0
13,10,0.0
14,10,0.0
16,10,0.0
12,10,0.0
17,10,0.0
18,10,0.0
20,10,0.0
21,10,0.0
22,10,0.0
23,10,0.0
25,10,0.0
24,10,0.0
26,10,0.0
19,10,0.0
27,10,0.0
28,10,0.0
29,10,0.0
3,10,0.0
1,10,0.0
5,10,0.0
2,10,0.0
4,10,0.0
0,10,0.0
6,10,0.0
7,10,0.0
